year,month,day,hour,minute,second,lat,lon,id,oisst,etopo2,chl,chl_a,kd405,kd411,kd443,kd455,kd465,kd489,kd510,kd520,kd530,kd550,kd555,kd560,kd565,kd570,kd590,kd619,kd625,kd665,kd670,kd683,lw405,lw411,lw443,lw455,lw465,lw489,lw510,lw520,lw530,lw550,lw555,lw560,lw565,lw570,lw590,lw619,lw625,lw665,lw670,lw683,es405,es411,es443,es455,es465,es489,es510,es520,es530,es550,es555,es560,es565,es570,es590,es619,es625,es665,es670,es683,ap405,ap411,ap443,ap455,ap465,ap489,ap510,ap520,ap530,ap550,ap555,ap560,ap565,ap570,ap590,ap619,ap625,ap665,ap670,ap683,ad405,ad411,ad443,ad455,ad465,ad489,ad510,ad520,ad530,ad550,ad555,ad560,ad565,ad570,ad590,ad619,ad625,ad665,ad670,ad683,ag405,ag411,ag443,ag455,ag465,ag489,ag510,ag520,ag530,ag550,ag555,ag560,ag565,ag570,ag590,ag619,ag625,ag665,ag670,ag683,a405,a411,a443,a455,a465,a489,a510,a520,a530,a550,a555,a560,a565,a570,a590,a619,a625,a665,a670,a683,bb405,bb411,bb443,bb455,bb465,bb489,bb510,bb520,bb530,bb550,bb555,bb560,bb565,bb570,bb590,bb619,bb625,bb665,bb670,bb683,bbr420,bbr442,bbr470,bbr488,bbr510,bbr514,bbr532,bbr550,bbr555,bbr589,bbr620,bbr671,bbr676,bbr870,wt,sal,poc,kpar,z_37,z_10,z_01,chlide_a,mv_chl_a,dv_chl_a,chl_c3,chl_c2,chl_c1c2,perid,but-fuco,hex-fuco,fuco,pras,viola,diadino,allo,diato,lut,zea,chl_b,beta-car,alpha-car,alpha-beta-car,flag,cruise
2003,4,15,15,15,0,38.4279,-76.61,1565,3.7,0,38.19,-999,-999,3.9455,3.1457,2.9253,-999,2.1736,1.8802,-999,1.5514,-999,1.2106,-999,1.1004,-999,1.0474,-999,1.2063,-999,1.7324,1.6464,-999,0.129962,0.204331,0.299114,-999,0.452029,0.541019,-999,0.741313,-999,0.979378,-999,1.14187,-999,1.04676,-999,0.773255,-999,0.391235,0.393889,-999,107.906,121.187,136.972,-999,137.266,134.037,-999,128.287,-999,130.947,-999,129.627,-999,121.947,-999,116.83,-999,112.925,107.343,1.51447,1.52149,1.38905,1.21649,1.10818,0.81987,0.64517,0.54105,0.45721,0.29055,0.24726,0.20662,0.1742,0.15187,0.12449,0.15888,0.17077,0.51376,0.63165,0.49707,0.85968,0.78272,0.47467,0.39349,0.33655,0.23128,0.16657,0.14247,0.12185,0.08914,0.08244,0.07624,0.07051,0.06521,0.0477,0.03032,0.0276,0.01477,0.01366,0.01115,1.42184,1.28735,0.7578,0.62123,0.52642,0.35378,0.24986,0.21173,0.17942,0.12883,0.11859,0.10917,0.10049,0.09251,0.06643,0.04109,0.03721,0.01918,0.01766,0.01424,2.941649,2.813491,2.15391,1.847348,1.644713,1.188438,0.92756,0.793618,0.680204,0.475932,0.425639,0.377901,0.339502,0.314216,0.326725,0.473626,0.492505,0.962638,1.089848,0.990031,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20691,ace0301
2003,4,15,16,50,0,38.368,-76.5,1566,3.7,0,35.01,-999,-999,2.5637,2.0529,1.8386,-999,1.4397,1.2342,-999,1.0148,-999,0.8371,-999,0.7567,-999,0.7277,-999,0.915,-999,1.3909,1.3261,-999,0.120886,0.177228,0.242677,-999,0.315395,0.352306,-999,0.45342,-999,0.57444,-999,0.68184,-999,0.602519,-999,0.397329,-999,0.200936,0.244307,-999,113.86,128.053,144.576,-999,145.148,140.965,-999,135.035,-999,138.35,-999,136.309,-999,128.3,-999,123.092,-999,118.555,112.424,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20675,ace0301
2003,4,15,17,50,0,38.3074,-76.44,1567,3.7,1,26.91,-999,-999,2.1533,1.7531,1.6641,-999,1.2676,1.0893,-999,0.917,-999,0.724,-999,0.6587,-999,0.6482,-999,0.8208,-999,1.236,1.1967,-999,0.111049,0.151807,0.19282,-999,0.269218,0.326515,-999,0.467751,-999,0.595226,-999,0.666951,-999,0.584251,-999,0.376629,-999,0.193438,0.197164,-999,114.35,128.055,145.47,-999,146.06,142.725,-999,137.089,-999,140.198,-999,135.762,-999,130.868,-999,125.534,-999,119.978,114.192,0.77046,0.77966,0.73214,0.62708,0.56548,0.42119,0.33765,0.28803,0.25056,0.17121,0.14978,0.13083,0.11662,0.10892,0.10011,0.12809,0.13583,0.34937,0.40562,0.30737,0.30754,0.27165,0.14016,0.10936,0.08893,0.05413,0.03506,0.02851,0.02319,0.01533,0.01383,0.01247,0.01124,0.01014,0.0067,0.00368,0.00325,0.00142,0.00128,0.00098,0.96702,0.88119,0.53678,0.44573,0.38177,0.26324,0.19014,0.16286,0.13949,0.10233,0.0947,0.08764,0.08111,0.07507,0.05507,0.03514,0.03202,0.01723,0.01595,0.01304,1.742819,1.665501,1.27598,1.082438,0.957363,0.699218,0.56032,0.491728,0.433624,0.330092,0.304269,0.280581,0.262542,0.253826,0.290985,0.436886,0.452375,0.796298,0.862108,0.799131,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20691,ace0301
2003,4,17,18,15,0,38.6367,-76.32,1568,3.7,3,47.96,-999,-999,2.69,2.2985,2.1297,-999,1.613,1.4441,-999,1.2004,-999,0.9776,-999,0.8857,-999,0.8577,-999,1.0546,-999,1.595,1.5343,-999,0.051578,0.0664299,0.0921846,-999,0.121242,0.14858,-999,0.189742,-999,0.274316,-999,0.310893,-999,0.274693,-999,0.193681,-999,0.102543,0.124202,-999,35.0441,38.1511,42.9392,-999,42.1373,40.5485,-999,38.7402,-999,39.2907,-999,38.0054,-999,34.9819,-999,33.5846,-999,31.7094,30.1597,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20675,ace0301
2003,7,21,18,27,0,38.3047,-76.44,1559,22.03,1,23.55,-999,-999,3.095,2.3966,2.1689,-999,1.6452,1.3757,-999,1.1533,-999,0.9311,-999,0.8597,-999,0.8625,-999,1.0355,-999,1.2731,1.2541,-999,0.0560009,0.0685303,0.0901516,-999,0.108838,0.132581,-999,0.16682,-999,0.216023,-999,0.24031,-999,0.186762,-999,0.129458,-999,0.0896634,0.108144,-999,61.8732,67.0335,74.3183,-999,72.2731,69.6545,-999,68.103,-999,77.1321,-999,78.6725,-999,70.7295,-999,59.3239,-999,50.0766,46.85,1.59116,1.62324,1.54082,1.33806,1.23725,0.96391,0.72949,0.56908,0.44275,0.22901,0.18209,0.1416,0.11394,0.09697,0.09226,0.12663,0.1426,0.3378,0.46114,0.45544,0.84975,0.76505,0.43701,0.35423,0.29736,0.19538,0.13529,0.11357,0.09534,0.06719,0.06156,0.0564,0.05167,0.04734,0.03336,0.02008,0.01808,0.00898,0.00823,0.00655,1.02911,0.93957,0.57824,0.482,0.41416,0.28777,0.20926,0.17981,0.1545,0.11407,0.10574,0.09801,0.09085,0.08422,0.06218,0.04005,0.03656,0.01993,0.01848,0.01517,2.625609,2.567461,2.12612,1.829688,1.661523,1.266468,0.97128,0.789728,0.640824,0.399632,0.347619,0.301721,0.269602,0.251026,0.290245,0.440336,0.463685,0.787428,0.920158,0.949331,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20691,ace0302
2003,7,23,15,58,0,38.636,-76.16,1562,22.03,1,23.97,-999,-999,3.8327,2.7801,2.4892,-999,1.8263,1.5953,-999,1.331,-999,1.1583,-999,1.0977,-999,1.0688,-999,1.199,-999,1.3377,1.3552,-999,0.136467,0.226201,0.262679,-999,0.382388,0.454337,-999,0.542305,-999,0.618128,-999,0.673123,-999,0.551854,-999,0.457205,-999,0.363943,0.338531,-999,59.5959,65.4416,72.7629,-999,71.2181,70.0442,-999,67.8818,-999,68.1582,-999,66.4985,-999,59.1856,-999,59.098,-999,57.0845,54.045,1.3722,1.37904,1.22804,1.04752,0.96012,0.72399,0.55602,0.42655,0.33372,0.19784,0.15976,0.12369,0.0966,0.0822,0.06993,0.11571,0.13267,0.31618,0.41842,0.41699,0.74738,0.66657,0.3621,0.28803,0.23802,0.15061,0.10091,0.08339,0.06891,0.04706,0.04278,0.03889,0.03535,0.03214,0.02195,0.01262,0.01126,0.00525,0.00477,0.00373,1.86745,1.69559,1.01324,0.83533,0.71118,0.48336,0.34477,0.29353,0.2499,0.18114,0.16714,0.15422,0.1423,0.1313,0.09517,0.05968,0.05419,0.02847,0.02627,0.02131,3.244989,3.079281,2.24834,1.892478,1.681413,1.222138,0.93332,0.760918,0.627194,0.435532,0.386689,0.340021,0.303712,0.283336,0.300905,0.449046,0.471385,0.774348,0.885228,0.917021,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20691,ace0302
2003,7,23,17,33,0,38.6417,-76.32,1563,22.03,3,19.15,-999,-999,2.4679,1.8302,1.6212,-999,1.2227,1.0646,-999,0.9467,-999,0.8168,-999,0.7708,-999,0.7887,-999,0.9666,-999,1.1672,1.154,-999,0.0869183,0.0974732,0.12372,-999,0.157995,0.18459,-999,0.20823,-999,0.290723,-999,0.293375,-999,0.22672,-999,0.164467,-999,0.120399,0.126284,-999,53.403,57.3472,63.9513,-999,62.0209,59.6988,-999,56.9079,-999,56.4199,-999,54.9047,-999,48.0145,-999,47.6236,-999,44.952,42.7345,1.17504,1.19711,1.08966,0.93421,0.86979,0.68593,0.54408,0.42936,0.34244,0.21325,0.18194,0.15268,0.13052,0.11555,0.10656,0.15439,0.16585,0.30847,0.39941,0.38975,0.55778,0.49756,0.27055,0.21529,0.17796,0.11269,0.07555,0.06245,0.05162,0.03528,0.03207,0.02916,0.02651,0.0241,0.01647,0.00948,0.00846,0.00395,0.00359,0.0028,1.01319,0.92271,0.56028,0.46468,0.39761,0.2735,0.19714,0.16868,0.14433,0.10567,0.09775,0.09042,0.08364,0.07736,0.05664,0.03604,0.03282,0.01759,0.01627,0.01329,2.193569,2.124471,1.657,1.408518,1.277513,0.974218,0.77375,0.638878,0.530344,0.375472,0.339479,0.305211,0.278972,0.262746,0.299005,0.464086,0.483195,0.755758,0.856218,0.881761,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20691,ace0302
2003,10,13,13,30,0,38.4328,-76.6163,1569,16.89,0,33.46,-999,-999,3.5526,2.9413,2.7943,-999,2.1019,1.7763,-999,1.4781,-999,1.1649,-999,1.0319,-999,0.9629,-999,1.1479,-999,1.854,1.7265,-999,0.0388636,0.0460639,0.0543451,-999,0.0851429,0.103309,-999,0.140859,-999,0.192257,-999,0.232814,-999,0.230903,-999,0.160703,-999,0.077369,0.11455,-999,48.5086,57.6851,66.3741,-999,70.6413,70.1857,-999,68.3483,-999,71.5646,-999,68.9499,-999,66.236,-999,64.7309,-999,63.4107,61.18,1.67604,1.73893,1.87791,1.70458,1.6005,1.24875,0.99598,0.88647,0.79904,0.57142,0.50414,0.44262,0.39292,0.3572,0.31464,0.32747,0.34552,0.70527,0.84134,0.62434,0.64931,0.60106,0.39816,0.34118,0.29998,0.22027,0.1681,0.1478,0.12995,0.10046,0.0942,0.08833,0.08282,0.07766,0.06004,0.04134,0.03826,0.02287,0.02144,0.01814,1.27701,1.16661,0.72027,0.60111,0.51702,0.36011,0.26242,0.22571,0.19413,0.14361,0.13319,0.12352,0.11456,0.10624,0.0786,0.05077,0.04638,0.02538,0.02354,0.01935,2.958389,2.910191,2.60524,2.315318,2.127633,1.623648,1.29093,1.153018,1.036744,0.771582,0.697119,0.628251,0.572292,0.533276,0.529045,0.651896,0.676425,1.160348,1.305418,1.122411,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20691,ace0303
2003,10,13,15,2,0,38.3745,-76.5052,1570,16.89,0,17.32,-999,-999,2.818,2.1461,1.9086,-999,1.2769,1.0586,-999,0.8732,-999,0.7468,-999,0.678,-999,0.6959,-999,0.8669,-999,1.2168,1.1823,-999,0.0885779,0.128181,0.164235,-999,0.241482,0.28933,-999,0.356584,-999,0.416919,-999,0.473231,-999,0.413355,-999,0.270402,-999,0.167266,0.206017,-999,81.4436,94.3069,107.04,-999,109.77,107.947,-999,104.346,-999,107.299,-999,103.439,-999,100.457,-999,96.2485,-999,92.0529,88.8975,1.06407,1.08653,1.06779,0.93959,0.86884,0.66338,0.5342,0.46648,0.40942,0.28485,0.24986,0.21812,0.19297,0.17577,0.15212,0.16632,-999,0.38906,0.47628,-999,0.51886,0.47921,0.31361,0.2675,0.23431,0.17048,0.12907,0.11306,0.09903,0.07597,0.0711,0.06654,0.06228,0.05829,0.04472,0.03045,-999,0.01655,0.01549,-999,1.26062,1.15074,0.70752,0.58955,0.50642,0.35162,0.25553,0.2195,0.18855,0.13912,0.12894,0.11951,0.11076,0.10265,0.07574,0.04874,0.04449,0.02423,0.02245,0.01843,2.330029,2.241921,1.78237,1.538768,1.385373,1.029788,0.82226,0.726818,0.641544,0.480522,0.438589,0.399741,0.368542,0.348256,0.363665,0.488716,-999,0.842988,0.939268,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20691,ace0303
2003,10,16,16,19,0,38.5742,-76.027,1574,16.89,1,-999,-999,-999,4.9461,3.3994,3.0369,-999,2.2034,1.9274,-999,1.6496,-999,1.4784,-999,1.3923,-999,1.3516,-999,1.445,-999,1.6032,1.5954,-999,0.495911,0.63976,0.882032,-999,1.00821,1.24185,-999,1.46507,-999,1.78859,-999,1.85722,-999,1.6843,-999,1.48277,-999,1.15348,1.06249,-999,80.0916,92.1184,104.879,-999,104.55,103.853,-999,99.6218,-999,99.9031,-999,98.3711,-999,93.1611,-999,89.7179,-999,87.0652,84.2174,1.16551,1.13154,0.889,0.76884,0.69603,0.54306,0.43664,0.37842,0.32871,0.24453,0.22549,0.20855,0.19384,0.18053,0.15008,0.12976,0.12638,0.1742,0.20338,0.17698,0.91856,0.86191,0.61378,0.5404,0.486,0.37675,0.3015,0.27114,0.24385,0.19723,0.18704,0.17737,0.16821,0.15952,0.12902,0.09485,0.089,0.05822,0.05521,0.0481,2.12909,1.92274,1.11636,0.91046,0.7682,0.51096,0.35763,0.30175,0.2546,0.18125,0.16649,0.15293,0.14048,0.12904,0.09186,0.05612,0.05069,0.02569,0.0236,0.01892,3.299939,3.058931,2.01242,1.688928,1.474343,1.068808,0.8268,0.721008,0.626884,0.482332,0.451769,0.423591,0.399132,0.379406,0.377745,0.459536,0.461595,0.629588,0.667518,0.674621,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20689,ace0303
2003,10,17,13,40,0,38.6434,-76.1685,1576,16.89,0,10.12,-999,-999,2.5579,1.8113,1.6055,-999,1.1774,1.0203,-999,0.8681,-999,0.7542,-999,0.7173,-999,0.72,-999,0.8688,-999,1.086,1.0976,-999,0.0475555,0.0866411,0.114588,-999,0.178127,0.213562,-999,0.253587,-999,0.286839,-999,0.305899,-999,0.249475,-999,0.169728,-999,0.106602,0.103099,-999,34.9668,40.5863,45.7338,-999,46.7647,45.4805,-999,43.7022,-999,43.8178,-999,42.5904,-999,39.3524,-999,38.5602,-999,37.8394,35.9831,0.63844,0.62937,0.52046,0.43426,0.38614,0.28048,0.21747,0.17782,0.14672,0.09804,0.08619,0.07524,0.06681,0.06134,0.05167,-999,-999,-999,-999,-999,0.40642,0.37296,0.23585,0.19862,0.17212,0.12206,0.09036,0.0783,0.06786,0.05096,0.04743,0.04416,0.04111,0.03827,0.02874,-999,-999,-999,-999,-999,1.28829,1.1696,0.69847,0.57569,0.49003,0.3329,0.23735,0.20203,0.17197,0.1246,0.11496,0.10606,0.09785,0.09028,0.06541,0.041,0.03722,0.01954,0.01803,0.01462,1.932069,1.803621,1.22599,1.019578,0.886283,0.628168,0.48735,0.420688,0.362264,0.279192,0.260939,0.243411,0.229472,0.221456,0.252885,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20691,ace0303
1997,10,7,9,41,0,42.51,39.52,4065,19.54,1982,0.401,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.2088,0.2941,-999,-999,0.3773,0.3413,0.293,0.2858,0.2354,0.2252,0.2153,0.2094,0.1966,-999,0.0439,0.0428,0.0265,0.0256,0.0279,-999,99.88,111.64,-999,-999,117.38,124.3,117.32,119.78,116.46,115.36,114.36,114.28,113.74,-999,104.74,104.78,94.62,91.6,88.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17411,akwanavt_97
1997,10,8,8,55,0,42.95,35.6,4066,18.44,2174,0.515,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.2604,0.3782,-999,-999,0.5507,0.5291,0.4746,0.4859,0.4385,0.4215,0.4047,0.3952,0.3719,-999,0.094,0.0923,0.0632,0.0591,0.0606,-999,90.92,98.88,-999,-999,108.58,112.22,106.96,111.64,108.62,106.74,104.62,104.36,103.54,-999,94.12,93.44,87.66,85.96,83.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17411,akwanavt_97
1997,10,9,9,55,0,42.89,31.61,4068,18.08,2038,0.539,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3062,0.4508,-999,-999,0.6625,0.6358,0.5676,0.5785,0.5223,0.4999,0.4777,0.4652,0.4367,-999,0.1082,0.1065,0.0701,0.0669,0.0679,-999,86.8,101.04,-999,-999,108.82,112.02,108.66,113.56,110.38,108.82,107.08,107.02,106.98,-999,101.3,100.04,94.68,93.02,89.28,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17411,akwanavt_97
1997,10,11,9,32,0,39.29,25.11,4069,19.57,462,0.091,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.4154,0.5087,-999,-999,0.4868,0.3389,0.2577,0.2447,0.1812,0.1679,0.1518,0.1437,0.1316,-999,0.0325,0.0314,0.0222,0.0219,0.0204,-999,97.08,106.72,-999,-999,118.2,121.4,115.42,120.02,115.48,114.24,113.04,112.68,111.92,-999,104.28,103.14,97.26,94.36,88.52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17411,akwanavt_97
1997,10,16,9,25,0,39.61,25.79,4070,19.43,138,0.079,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.4244,0.5202,-999,-999,0.5037,0.3416,0.2495,0.2344,0.1716,0.1588,0.1443,0.1357,0.1232,-999,0.0262,0.0236,0.0126,0.01,0.011,-999,82.56,94.4,-999,-999,108.2,109.58,104.38,108,104.44,103.5,102.18,102.06,102.2,-999,97.84,97.16,86.5,84.7,83.14,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17411,akwanavt_97
